date, meadow height, meadow width, number of waterholes, max iterations number, min cats on start, min cows on start, min mouses on start, min sheeps on start, min wolves on start, max cats on start, max cows on start, max mouses on start, max sheeps on start, max wolves on start, min cats at the end, min cows at the end, min mouses at the end, min sheeps at the end, min wolves at the end, max cats at the end, max cows at the end, max mouses at the end, max sheeps at the end, max wolves at the end, created cheese, max number of cheese, eaten cheese, destroyed cheese, created grass, max number of grass, eaten grass, destroyed grass, current population of cats, current population of cows, current population of mouses, current population of sheeps, current population of wolves, max population of cats, max population of cows, max population of mouses, max population of sheeps, max population of wolves
04.06.2020 14:46:19, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 57, 57, 9, 32, 56, 56, 20, 36, 3, 5, 2, 3, 6, 5, 5, 5, 5, 6
06.06.2020 14:16:58, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 15, 20, 3, 30, 9, 17, 4, 19, 6, 5, 5, 3, 5, 6, 5, 5, 5, 5
06.06.2020 14:17:40, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 17, 20, 4, 33, 12, 17, 4, 20, 6, 5, 5, 3, 5, 6, 5, 5, 5, 5
06.06.2020 14:19:37, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 15, 20, 3, 30, 9, 17, 4, 19, 6, 5, 5, 3, 5, 6, 5, 5, 5, 5
06.06.2020 14:46:32, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 26, 31, 31, 362, 34, 46, 9, 378, 0, 0, 0, 0, 0, 7, 5, 5, 5, 6
06.06.2020 14:46:51, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 47, 48, 41, 445, 34, 52, 36, 477, 0, 1, 0, 3, 1, 6, 5, 5, 5, 5
06.06.2020 14:47:54, 20, 20, 30, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 198, 198, 61, 756, 156, 163, 60, 769, 0, 0, 2, 3, 1, 5, 5, 5, 5, 6
06.06.2020 14:49:00, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 205, 218, 69, 825, 170, 180, 72, 849, 6, 4, 3, 4, 6, 6, 5, 5, 5, 6
06.06.2020 14:55:37, 30, 30, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 365, 365, 12, 604, 340, 343, 30, 629, 0, 0, 1, 2, 0, 5, 5, 5, 5, 5
06.06.2020 15:14:38, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 13, 20, 9, 51, 15, 18, 5, 27, 6, 5, 5, 3, 5, 7, 5, 5, 5, 5
06.06.2020 15:15:01, 20, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 71, 71, 22, 187, 67, 91, 19, 194, 0, 1, 1, 0, 0, 5, 5, 5, 5, 5
